customer,age,children,income,numHandsets,handsetAge,smartPhone,currentHandsetPrice,creditRating,homeOwner,creditCard,avgBill,avgMins,avgrecurringCharge,avgOverBundleMins,avgRoamCalls,callMinutesChangePct,billAmountChangePct,avgReceivedMins,avgOutCalls,avgInCalls,peakOffPeakRatio,peakOffPeakRatioChangePct,avgDroppedCalls,lifeTime,lastMonthCustomerCareCalls,churn
1029178,56.0,False,6.0,1,684.0,True,0.0,B,False,True,23.19,28.75,16.99,12.5,0.0,-0.235,-0.124,0.82,0.0,0.0,1.534,-5.80030031,2.0,23,0.0,False
1066490,58.0,False,6.0,1,345.0,True,0.0,C,False,True,193.27,1221.75,59.99,439.5,5.23,13.325,2.7308,395.82,68.0,15.33,2.8882392410000004,-3.171997317,18.67,11,1.0,True
1060762,26.0,False,4.0,3,122.0,True,79.99,B,True,True,70.52,391.5,59.99,0.0,2.05,-2.35,-0.2308,30.98,43.33,4.0,0.7329255859999999,-3.750550842,6.67,12,0.33,True
1084909,52.0,False,9.0,1,256.0,True,0.0,E,False,True,64.48,1429.0,54.99,32.5,0.0,17.18,0.5698,313.6,75.67,25.67,0.876903804,9.809991621,10.0,8,6.33,True
1000959,40.0,False,9.0,6,341.0,True,9.99,A,False,True,120.04,1285.25,84.99,163.75,0.0,-6.445,-0.836,257.34,154.67,51.0,4.08621992,-4.163124332,74.67,45,1.0,False
1032636,54.0,False,9.0,1,626.0,False,0.0,B,False,True,30.26,305.25,30.0,0.75,0.0,0.275,0.0158,14.64,8.33,0.33,2.414827391,1.419037307,10.0,21,5.33,True
1013822,32.0,False,8.0,2,335.0,True,79.99,A,False,True,32.18,222.0,39.99,2.0,0.0,-3.48,-0.0438,0.0,0.0,0.0,0.0,6.733635682,0.0,27,0.0,False
1012396,60.0,False,9.0,1,867.0,False,0.0,A,False,True,17.94,25.25,16.99,7.75,0.0,0.575,0.053,0.0,0.0,0.0,2.255639098,4.953726035,0.0,29,0.0,True
1013056,24.0,False,2.0,3,404.0,True,29.99,D,False,True,86.5,796.25,75.0,46.0,0.0,-2.545,-0.23,134.33,23.0,5.33,1.118232647,20.39924983,14.67,28,0.0,False
1019367,54.0,False,9.0,4,131.0,True,29.99,C,True,True,114.02,930.5,50.0,190.25,0.0,-4.51,-0.665,336.75,32.0,16.0,9.265227272999999,3.920739792,23.33,29,0.0,True
1010943,30.0,False,1.0,1,952.0,True,0.0,C,False,True,35.21,197.25,34.98,0.0,0.0,-0.945,-0.0044,121.93,12.0,2.67,1.627832748,-14.81720594,5.67,32,0.0,True
